Gene stable ID	Gene stable ID version	Gene name	NCBI gene (formerly Entrezgene) ID
ENSG00000221808	ENSG00000221808.1	MIR1256	100302155
ENSG00000221680	ENSG00000221680.1	MIR1278	100302163
ENSG00000283867	ENSG00000283867.1	MIR1307	100302174
ENSG00000221176	ENSG00000221176.1	MIR1207	100302175
ENSG00000283476	ENSG00000283476.1	MIR1279	100302182
ENSG00000284125	ENSG00000284125.1	MIR1825	100302183
ENSG00000284464	ENSG00000284464.1	MIR1306	100302197
ENSG00000284268	ENSG00000284268.1	MIR1181	100302213
ENSG00000221463	ENSG00000221463.3	MIR1277	100302214
ENSG00000221520	ENSG00000221520.1	MIR1285-1	100302218
ENSG00000281842	ENSG00000281842.2	MIR1291	100302221
ENSG00000284442	ENSG00000284442.1	MIR2110	100302224
ENSG00000221025	ENSG00000221025.1	MIR1250	100302229
ENSG00000238728	ENSG00000238728.1	MIR1972-1	100302243
ENSG00000221792	ENSG00000221792.1	MIR1282	100302254
ENSG00000221230	ENSG00000221230.1	MIR548L	100302275
ENSG00000284378	ENSG00000284378.1	MIR1244-1	100302285
ENSG00000224687	ENSG00000224687.2	RASAL2-AS1	100302401
ENSG00000287736	ENSG00000287736.1	PTCSC1	100302522
ENSG00000115239	ENSG00000115239.24	ASB3	100302652
ENSG00000230590	ENSG00000230590.13	FTX	100302692
ENSG00000251201	ENSG00000251201.8	TMED7-TICAM2	100302736
ENSG00000206633	ENSG00000206633.1	SNORA80B	100302743
ENSG00000238057	ENSG00000238057.10	ZEB2-AS1	100303491
ENSG00000224281	ENSG00000224281.6	SLC25A5-AS1	100303728
ENSG00000232838	ENSG00000232838.4	PET117	100303755
ENSG00000236618	ENSG00000236618.3	PITPNA-AS1	100306951
ENSG00000289161	ENSG00000289161.2		100310756
ENSG00000173678	ENSG00000173678.15	SPDYE2B	100310812
ENSG00000157999	ENSG00000157999.6	ANKRD61	100310846
ENSG00000288233	ENSG00000288233.1	MIR548K	100313770
ENSG00000221333	ENSG00000221333.1	MIR548K	100313770
ENSG00000252153	ENSG00000252153.1	MIR2278	100313780
ENSG00000221510	ENSG00000221510.1	MIR548O	100313829
ENSG00000211591	ENSG00000211591.1	MIR762	100313837
ENSG00000284336	ENSG00000284336.1	MIR2277	100313887
ENSG00000283899	ENSG00000283899.1	MIR761	100313892
ENSG00000221214	ENSG00000221214.1	MIR548E	100313921
ENSG00000205307	ENSG00000205307.12	SAP25	100316904
ENSG00000292347	ENSG00000292347.1	LINC00102	100359394
ENSG00000230542	ENSG00000230542.6	LINC00102	100359394
